Common column name	Column name of Table1	Column name of Table2	etc
연구대상자ID	ID	ID	-
성별	SEX	SEX	"Codebook 1 has an additional category ""3=Unknown"""
생년월일	CMD_BIR	REG_BIR	-
만 나이	AGE	AGE	Different description format
임상정보수집일	CMD_DATE2	REG_DATE	-
대상자 그룹	CMD_GROUP	M1_GROUP	"Codebook 1 has an additional category ""2=Non-COVID19"""
거주지	CMD_ADDRESS	M1_ADDRESS	-
임신 혹은 출산 여부	CMD_PREG	M1_PREG	-
COVID19 검사 결과	CMD_COVID19	M1_COVID19	-
확진일	CMD_CDATE	M1_CDATE	-
내원 경로	CMD_PATH	M1_PATH	"Same coding, but may have different descriptions"
ECOG performance status	CMD_ECOG	M1_ECOG	
고혈압 (hypertension)	CMD_HYPER	M1_HYPER	
당뇨 (diabetes)	CMD_DIABETES	M1_DIABETES	
관상동맥질환 (coronary heart disease)	CMD_CHEART	M1_CHEART	
뇌졸중 (stroke)	CMD_STROKE	M1_STROKE	
심부전 (heart failure)	CMD_HEARTF	M1_HEARTF	
만성폐쇄성폐질환 (Chronic Pulmonary Obstructive Disease)	CMD_CPOD	M1_CPOD	
결핵 (tuberculosis)	CMD_TUBER	M1_TUBER	
천식 (asthma)	CMD_ASTHMA	M1_ASTHMA	
만성신장병 (chronic kidney disease)	CMD_CKIDNEY	M1_CKIDNEY	
만성신장병 (chronic kidney disease) 혈액 투석 혹은 복막 투석 치료를 받는 환자	CMD_CKIDNEYP	M1_CKIDNEYP	
악성종양 (malignant neoplasm)	CMD_NEOPLASM	M1_NEOPLASM	
만성간염/간경화 (chronic hepatitis/liver cirrhosis)	CMD_CLIVER	M1_CLIVER	
HIV 감염	CMD_HIV	M1_HIV	
HIV 치료 여부	CMD_HIV2	M1_HIV2	
흡연 (current smoker)	CMD_SMOKER	M1_SMOKER	
기타 기저질환	CMD_UNDER	M1_UNDER	
기타 기저질환 기술	CMD_UNDEREXP	M1_UNDEREXP	
경구 또는 정맥주사 또는 흡입 항바이러스제 투여 여부	CMD_AVIRUS__1	M1_AVIRUS	
